ano,mes,dia,faturamento,data
2023,1,1,0.0,2023-01-01
2023,1,2,339.88,2023-01-02
2023,1,3,181.89,2023-01-03
2023,1,4,49.99,2023-01-04
2023,1,5,84.99,2023-01-05
2023,1,6,344.98,2023-01-06
2023,1,7,329.99,2023-01-07
2023,1,8,0.0,2023-01-08
2023,1,9,0.0,2023-01-09
2023,1,10,270.99,2023-01-10
2023,1,11,259.89,2023-01-11
2023,1,12,303.88,2023-01-12
2023,1,13,1344.92,2023-01-13
2023,1,14,319.99,2023-01-14
2023,1,15,0.0,2023-01-15
2023,1,16,404.97,2023-01-16
2023,1,17,210.0,2023-01-17
2023,1,18,188.9,2023-01-18
2023,1,19,95.0,2023-01-19
2023,1,20,219.98,2023-01-20
2023,1,21,534.97,2023-01-21
2023,1,22,0.0,2023-01-22
2023,1,23,95.0,2023-01-23
2023,1,24,95.0,2023-01-24
2023,1,25,95.0,2023-01-25
2023,1,26,1033.92,2023-01-26
2023,1,27,289.98,2023-01-27
2023,1,28,677.98,2023-01-28
2023,1,29,0.0,2023-01-29
2023,1,30,14.0,2023-01-30
2023,1,31,250.98,2023-01-31
2023,2,1,303.99,2023-02-01
2023,2,2,304.99,2023-02-02
2023,2,3,795.92,2023-02-03
2023,2,4,917.97,2023-02-04
2023,2,5,0.0,2023-02-05
2023,2,6,426.88,2023-02-06
2023,2,7,331.87,2023-02-07
2023,2,8,350.97,2023-02-08
2023,2,9,179.99,2023-02-09
2023,2,10,337.99,2023-02-10
2023,2,11,1341.92,2023-02-11
2023,2,12,0.0,2023-02-12
2023,2,13,527.97,2023-02-13
2023,2,14,599.97,2023-02-14
2023,2,15,531.96,2023-02-15
2023,2,16,496.99,2023-02-16
2023,2,17,889.98,2023-02-17
2023,2,18,1000.85,2023-02-18
2023,2,19,0.0,2023-02-19
2023,2,20,69.99,2023-02-20
2023,2,21,0.0,2023-02-21
2023,2,22,95.0,2023-02-22
2023,2,23,289.98,2023-02-23
2023,2,24,221.99,2023-02-24
2023,2,25,743.98,2023-02-25
2023,2,26,0.0,2023-02-26
2023,2,27,0.0,2023-02-27
2023,2,28,129.99,2023-02-28
2023,3,1,495.98,2023-03-01
2023,3,2,0.0,2023-03-02
2023,3,3,1281.9,2023-03-03
2023,3,4,1453.86,2023-03-04
2023,3,5,0.0,2023-03-05
2023,3,6,470.95,2023-03-06
2023,3,7,432.96,2023-03-07
2023,3,8,418.99,2023-03-08
2023,3,9,372.0,2023-03-09
2023,3,10,728.97,2023-03-10
2023,3,11,0.0,2023-03-11
2023,3,12,0.0,2023-03-12
2023,3,13,1633.93,2023-03-13
2023,3,14,734.94,2023-03-14
2023,3,15,702.96,2023-03-15
2023,3,16,150.98,2023-03-16
2023,3,17,958.94,2023-03-17
2023,3,18,1081.74,2023-03-18
2023,3,19,0.0,2023-03-19
2023,3,20,530.96,2023-03-20
2023,3,21,515.98,2023-03-21
2023,3,22,194.99,2023-03-22
2023,3,23,0.0,2023-03-23
2023,3,24,1854.9,2023-03-24
2023,3,25,194.99,2023-03-25
2023,3,26,0.0,2023-03-26
2023,3,27,744.96,2023-03-27
2023,3,28,259.97,2023-03-28
2023,3,29,947.93,2023-03-29
2023,3,30,1065.0,2023-03-30
2023,3,31,749.95,2023-03-31
2023,4,1,603.99,2023-04-01
2023,4,2,0.0,2023-04-02
2023,4,3,1211.93,2023-04-03
2023,4,4,345.98,2023-04-04
2023,4,5,440.94,2023-04-05
2023,4,6,1136.94,2023-04-06
2023,4,7,0.0,2023-04-07
2023,4,8,1157.99,2023-04-08
2023,4,9,0.0,2023-04-09
2023,4,10,605.92,2023-04-10
2023,4,11,0.0,2023-04-11
2023,4,12,354.99,2023-04-12
2023,4,13,646.96,2023-04-13
2023,4,14,277.99,2023-04-14
2023,4,15,435.97,2023-04-15
2023,4,16,0.0,2023-04-16
2023,4,17,319.98,2023-04-17
2023,4,18,384.97,2023-04-18
2023,4,19,433.99,2023-04-19
2023,4,20,0.0,2023-04-20
2023,4,21,0.0,2023-04-21
2023,4,22,814.97,2023-04-22
2023,4,23,0.0,2023-04-23
2023,4,24,0.0,2023-04-24
2023,4,25,647.93,2023-04-25
2023,4,26,943.88,2023-04-26
2023,4,27,0.0,2023-04-27
2023,4,28,657.87,2023-04-28
2023,4,29,408.97,2023-04-29
2023,4,30,0.0,2023-04-30
2023,5,1,0.0,2023-05-01
2023,5,2,649.97,2023-05-02
2023,5,3,0.0,2023-05-03
2023,5,4,779.96,2023-05-04
2023,5,5,837.91,2023-05-05
2023,5,6,948.92,2023-05-06
2023,5,7,0.0,2023-05-07
2023,5,8,0.0,2023-05-08
2023,5,9,2439.76,2023-05-09
2023,5,10,439.98,2023-05-10
2023,5,11,455.97,2023-05-11
2023,5,12,0.0,2023-05-12
2023,5,13,1839.91,2023-05-13
2023,5,14,0.0,2023-05-14
2023,5,15,0.0,2023-05-15
2023,5,16,319.97,2023-05-16
2023,5,17,469.96,2023-05-17
2023,5,18,0.0,2023-05-18
2023,5,19,804.92,2023-05-19
2023,5,20,845.99,2023-05-20
2023,5,21,0.0,2023-05-21
2023,5,22,858.97,2023-05-22
2023,5,23,154.99,2023-05-23
2023,5,24,165.99,2023-05-24
2023,5,25,625.98,2023-05-25
2023,5,26,0.0,2023-05-26
2023,5,27,1077.97,2023-05-27
2023,5,28,0.0,2023-05-28
2023,5,29,369.98,2023-05-29
2023,5,30,249.99,2023-05-30
2023,5,31,389.98,2023-05-31
2023,6,1,649.97,2023-06-01
2023,6,2,1269.97,2023-06-02
2023,6,3,0.0,2023-06-03
2023,6,4,0.0,2023-06-04
2023,6,5,0.0,2023-06-05
2023,6,6,0.0,2023-06-06
2023,6,7,1024.86,2023-06-07
2023,6,8,0.0,2023-06-08
2023,6,9,1284.98,2023-06-09
2023,6,10,0.0,2023-06-10
2023,6,11,0.0,2023-06-11
2023,6,12,2692.83,2023-06-12
2023,6,13,0.0,2023-06-13
2023,6,14,2478.84,2023-06-14
2023,6,15,1842.84,2023-06-15
2023,6,16,991.97,2023-06-16
2023,6,17,1425.94,2023-06-17
2023,6,18,0.0,2023-06-18
2023,6,19,1246.85,2023-06-19
2023,6,20,842.93,2023-06-20
2023,6,21,0.0,2023-06-21
2023,6,22,0.0,2023-06-22
2023,6,23,1771.82,2023-06-23
2023,6,24,995.96,2023-06-24
2023,6,25,0.0,2023-06-25
2023,6,26,714.94,2023-06-26
2023,6,27,299.98,2023-06-27
2023,6,28,0.0,2023-06-28
2023,6,29,1940.9,2023-06-29
2023,6,30,1015.95,2023-06-30
2023,7,1,1156.94,2023-07-01
2023,7,2,0.0,2023-07-02
2023,7,3,144.99,2023-07-03
2023,7,4,894.96,2023-07-04
2023,7,5,1895.95,2023-07-05
2023,7,6,873.87,2023-07-06
2023,7,7,0.0,2023-07-07
2023,7,8,0.0,2023-07-08
2023,7,9,0.0,2023-07-09
2023,7,10,0.0,2023-07-10
2023,7,11,2794.92,2023-07-11
2023,7,12,845.96,2023-07-12
2023,7,13,856.87,2023-07-13
2023,7,14,1465.74,2023-07-14
2023,7,15,1028.93,2023-07-15
2023,7,16,0.0,2023-07-16
2023,7,17,909.96,2023-07-17
2023,7,18,1311.86,2023-07-18
2023,7,19,535.96,2023-07-19
2023,7,20,619.96,2023-07-20
2023,7,21,995.95,2023-07-21
2023,7,22,1050.95,2023-07-22
2023,7,23,0.0,2023-07-23
2023,7,24,0.0,2023-07-24
2023,7,25,0.0,2023-07-25
2023,7,26,1209.95,2023-07-26
2023,7,27,572.98,2023-07-27
2023,7,28,744.96,2023-07-28
2023,7,29,644.97,2023-07-29
2023,7,30,0.0,2023-07-30
2023,7,31,893.86,2023-07-31
2023,8,1,0.0,2023-08-01
2023,8,2,1126.89,2023-08-02
2023,8,3,764.95,2023-08-03
2023,8,4,1047.92,2023-08-04
2023,8,5,0.0,2023-08-05
2023,8,6,0.0,2023-08-06
2023,8,7,1958.91,2023-08-07
2023,8,8,394.99,2023-08-08
2023,8,9,926.95,2023-08-09
2023,8,10,0.0,2023-08-10
2023,8,11,935.87,2023-08-11
2023,8,12,875.95,2023-08-12
2023,8,13,0.0,2023-08-13
2023,8,14,0.0,2023-08-14
2023,8,15,1654.94,2023-08-15
2023,8,16,1105.97,2023-08-16
2023,8,17,852.85,2023-08-17
2023,8,18,302.98,2023-08-18
2023,8,19,1421.93,2023-08-19
2023,8,20,0.0,2023-08-20
2023,8,21,460.97,2023-08-21
2023,8,22,0.0,2023-08-22
2023,8,23,319.98,2023-08-23
2023,8,24,0.0,2023-08-24
2023,8,25,758.0,2023-08-25
2023,8,26,933.97,2023-08-26
2023,8,27,0.0,2023-08-27
2023,8,28,0.0,2023-08-28
2023,8,29,1074.95,2023-08-29
2023,8,30,632.95,2023-08-30
2023,8,31,0.0,2023-08-31
2023,9,1,0.0,2023-09-01
2023,9,2,0.0,2023-09-02
2023,9,3,0.0,2023-09-03
2023,9,4,1820.89,2023-09-04
2023,9,5,744.96,2023-09-05
2023,9,6,800.98,2023-09-06
2023,9,7,0.0,2023-09-07
2023,9,8,1369.92,2023-09-08
2023,9,9,239.98,2023-09-09
2023,9,10,0.0,2023-09-10
2023,9,11,2067.93,2023-09-11
2023,9,12,584.98,2023-09-12
2023,9,13,0.0,2023-09-13
2023,9,14,1741.94,2023-09-14
2023,9,15,984.97,2023-09-15
2023,9,16,1604.92,2023-09-16
2023,9,17,0.0,2023-09-17
2023,9,18,547.98,2023-09-18
2023,9,19,518.97,2023-09-19
2023,9,20,0.0,2023-09-20
2023,9,21,687.94,2023-09-21
2023,9,22,824.93,2023-09-22
2023,9,23,893.95,2023-09-23
2023,9,24,0.0,2023-09-24
2023,9,25,590.96,2023-09-25
2023,9,26,831.75,2023-09-26
2023,9,27,379.98,2023-09-27
2023,9,28,811.93,2023-09-28
2023,9,29,565.88,2023-09-29
2023,9,30,511.77,2023-09-30
2023,10,1,0.0,2023-10-01
2023,10,2,0.0,2023-10-02
2023,10,3,339.97,2023-10-03
2023,10,4,665.83,2023-10-04
2023,10,5,439.88,2023-10-05
2023,10,6,0.0,2023-10-06
2023,10,7,2674.27,2023-10-07
2023,10,8,0.0,2023-10-08
2023,10,9,421.99,2023-10-09
2023,10,10,1031.83,2023-10-10
2023,10,11,0.0,2023-10-11
2023,10,12,0.0,2023-10-12
2023,10,13,2993.2,2023-10-13
2023,10,14,698.96,2023-10-14
2023,10,15,0.0,2023-10-15
2023,10,16,755.95,2023-10-16
2023,10,17,565.94,2023-10-17
2023,10,18,734.97,2023-10-18
2023,10,19,469.97,2023-10-19
2023,10,20,489.98,2023-10-20
2023,10,21,1881.7,2023-10-21
2023,10,22,0.0,2023-10-22
2023,10,23,786.84,2023-10-23
2023,10,24,0.0,2023-10-24
2023,10,25,1550.81,2023-10-25
2023,10,26,1160.0,2023-10-26
2023,10,27,555.94,2023-10-27
2023,10,28,1396.94,2023-10-28
2023,10,29,0.0,2023-10-29
2023,10,30,521.97,2023-10-30
2023,10,31,1206.93,2023-10-31
2023,11,1,1032.89,2023-11-01
2023,11,2,0.0,2023-11-02
2023,11,3,535.97,2023-11-03
2023,11,4,1260.8,2023-11-04
2023,11,5,0.0,2023-11-05
2023,11,6,344.99,2023-11-06
2023,11,7,490.99,2023-11-07
2023,11,8,299.9,2023-11-08
2023,11,9,627.9,2023-11-09
2023,11,10,0.0,2023-11-10
2023,11,11,0.0,2023-11-11
2023,11,12,0.0,2023-11-12
2023,11,13,2105.81,2023-11-13
2023,11,14,0.0,2023-11-14
2023,11,15,0.0,2023-11-15
2023,11,16,0.0,2023-11-16
2023,11,17,0.0,2023-11-17
2023,11,18,4225.08,2023-11-18
2023,11,19,0.0,2023-11-19
2023,11,20,394.98,2023-11-20
2023,11,21,0.0,2023-11-21
2023,11,22,1139.99,2023-11-22
2023,11,23,414.98,2023-11-23
2023,11,24,448.98,2023-11-24
2023,11,25,3109.63,2023-11-25
2023,11,26,0.0,2023-11-26
2023,11,27,259.98,2023-11-27
2023,11,28,651.86,2023-11-28
2023,11,29,779.98,2023-11-29
2023,11,30,454.99,2023-11-30
2023,12,1,1395.92,2023-12-01
2023,12,2,0.0,2023-12-02
2023,12,3,0.0,2023-12-03
2023,12,4,1762.99,2023-12-04
2023,12,5,697.97,2023-12-05
2023,12,6,929.97,2023-12-06
2023,12,7,1636.99,2023-12-07
2023,12,8,1598.92,2023-12-08
2023,12,9,3951.52,2023-12-09
2023,12,10,0.0,2023-12-10
2023,12,11,1264.93,2023-12-11
2023,12,12,50.0,2023-12-12
2023,12,13,0.0,2023-12-13
2023,12,14,8670.26,2023-12-14
2023,12,15,229.97,2023-12-15
2023,12,16,0.0,2023-12-16
2023,12,17,0.0,2023-12-17
2023,12,18,1774.88,2023-12-18
2023,12,19,214.99,2023-12-19
2023,12,20,139.99,2023-12-20
2023,12,21,4259.56,2023-12-21
2023,12,22,7907.15,2023-12-22
2023,12,23,11985.54,2023-12-23
2023,12,24,1486.89,2023-12-24
2023,12,25,0.0,2023-12-25
2023,12,26,3033.75,2023-12-26
2023,12,27,1185.91,2023-12-27
2023,12,28,0.0,2023-12-28
2023,12,29,2786.76,2023-12-29
2023,12,30,6420.44,2023-12-30
2023,12,31,895.98,2023-12-31
